year mon series1 series2 series3 series4
1958 9 14.0791 33.2008 8.1975 20.5291
1958 10 14.7648 33.2416 8.3031 20.8757
1958 11 17.3017 33.6082 8.451 21.4623
1958 12 17.3703 33.6489 8.5144 21.5156
1959 1 17.416 34.097 8.6834 21.8888
1959 2 17.5074 34.4229 8.7996 22.582
1959 3 17.8503 34.26 8.8947 23.1686
1959 4 17.9645 34.8303 9.1271 23.8085
1959 5 18.3302 34.8303 9.4229 24.4216
1959 6 18.4674 34.5859 9.6448 24.2617
1959 7 18.8331 34.8711 9.6659 22.822
1959 8 18.3074 35.2784 9.5814 21.089
1959 9 17.7589 35.4821 9.5074 21.0623
1959 10 18.1703 35.034 9.4335 20.849
1959 11 15.9304 35.5229 9.2856 21.6755
1959 12 17.9646 35.6451 9.4229 23.9951
1960 1 19.9301 35.808 9.7715 24.6883
1960 2 19.6559 35.4414 9.8349 24.3683
1960 3 19.2673 35.7673 9.856 23.9684
1960 4 19.2445 36.1339 9.7504 23.4085
1960 5 19.4273 36.2561 9.7821 23.1952
1960 6 19.2216 36.0524 9.6553 22.822
1960 7 18.4902 36.1339 9.5391 22.8486
1960 8 18.6959 36.1339 9.4123 22.742
1960 9 18.4674 36.0117 9.3278 22.3687
1960 10 18.6731 36.3783 9.2539 22.2888
1960 11 18.056 36.0117 9.2328 21.7022
1960 12 17.4389 35.971 9.0215 21.1156
1961 1 16.7989 36.0932 9.0849 21.3023
1961 2 16.7075 36.3376 9.0004 21.1423
1961 3 16.7075 36.3376 8.9898 21.3289
1961 4 17.9188 36.6635 9.0849 21.9688
1961 5 18.4902 36.9079 9.0954 22.6354
1961 6 19.1073 37.0709 9.1694 22.9819
1961 7 19.4502 37.2338 9.2222 23.3019
1961 8 19.4959 37.5597 9.2645 23.7551
1961 9 18.3988 37.356 9.4018 23.8084
1961 10 19.4273 38.0079 9.3912 24.235
1961 11 20.2958 38.3745 9.6448 24.555
1961 12 20.6615 38.3745 9.6764 24.9015
1962 1 20.2044 38.2115 9.6448 24.7149
1962 2 20.3187 38.4559 9.7821 25.1149
1962 3 20.6158 38.7004 9.9089 25.1415
1962 4 21.0958 38.7411 9.9722 25.1148
1962 5 21.2786 38.9855 9.9722 24.7683
1962 6 20.8901 38.8633 10.0673 24.6883
1962 7 21.3472 39.3522 10.1518 24.9015
1962 8 21.0501 38.9855 10.2575 24.9549
1962 9 21.3243 39.2299 10.2469 25.1682
1962 10 21.4158 39.067 10.2891 25.1682
1962 11 21.4386 39.2299 10.2891 25.3815
1962 12 21.5986 39.4336 10.2258 25.2481
1963 1 21.8272 39.9632 10.1835 25.3548
1963 2 22.0557 40.4113 10.3314 25.7281
1963 3 22.1014 40.615 10.268 26.1013
1963 4 22.2843 40.7372 10.3631 26.3413
1963 5 22.65 40.615 10.3314 26.9545
1963 6 23.0385 40.6558 10.3737 27.0611
1963 7 23.0156 40.4928 10.5215 26.7945
1963 8 23.0614 40.9409 10.7751 26.5545
1963 9 23.4728 40.8187 10.7434 27.0878
1963 10 23.4956 41.1446 10.9335 27.2477
1963 11 23.7242 41.1038 11.018 27.4077
1963 12 23.7928 41.4705 10.9969 27.2477
1964 1 23.8384 41.8779 11.2821 27.461
1964 2 23.9756 41.7149 11.2293 27.8876
1964 3 23.7928 41.5927 11.3667 27.8876
1964 4 24.4327 42.5704 11.6308 28.2076
1964 5 24.5699 42.9778 11.7575 28.4475
1964 6 24.8213 42.6926 11.7998 28.6341
1964 7 25.2326 43.2629 11.9582 28.6874
1964 8 25.4155 42.9778 11.9477 29.274
1964 9 24.8213 42.7334 12.0533 29.7272
1964 10 22.2386 43.3037 11.9582 29.1673
1964 11 25.2784 43.4259 12.3596 30.0738
1964 12 26.764 43.6703 12.5815 30.4471
1965 1 27.2211 44.2814 12.5604 30.7937
1965 2 27.5868 44.1999 12.7716 30.9003
1965 3 28.341 44.2406 12.9407 31.3802
1965 4 28.2953 44.1184 13.0569 31.7002
1965 5 28.501 44.3628 13.247 31.8335
1965 6 28.7524 44.4036 13.4372 32.2067
1965 7 28.9581 44.2813 13.6696 32.5
1965 8 28.661 44.4036 13.6696 32.8199
1965 9 29.1867 44.9739 13.9337 32.5533
1965 10 29.4609 45.0961 14.1344 32.8999
1965 11 29.6667 45.3813 14.3985 32.7666
1965 12 30.2838 45.3405 14.7048 33.1399
1966 1 30.3752 45.5849 15.0006 33.5931
1966 2 30.3294 45.8294 14.9583 33.9664
1966 3 30.558 46.1553 15.2541 34.5795
1966 4 31.1294 46.0738 15.3703 34.4996
1966 5 30.6266 46.359 15.571 34.8995
1966 6 30.6266 46.6034 15.7189 35.1128
1966 7 30.0552 46.8885 15.9725 35.1928
1966 8 29.5752 46.97 16.0359 35.486
1966 9 29.7581 47.0922 16.2154 35.8326
1966 10 31.2894 47.4589 16.1626 35.9926
1966 11 30.3523 47.744 15.9302 35.4594
1966 12 30.0324 47.7847 16.152 35.4594
1967 1 29.2827 48.8923 16.0384 35.3105
1967 2 28.469 48.5049 16.0581 34.639
1967 3 28.7316 48.5362 16.0313 33.9983
1967 4 28.9534 49.5356 16.0191 34.3221
1967 5 28.5495 48.467 16.0791 33.9461
1967 6 28.2405 48.8711 15.9921 33.876
1967 7 28.619 48.5191 15.6705 33.8633
1967 8 28.9434 48.9644 15.9597 34.8703
1967 9 28.8536 49.1672 15.8779 34.6432
1967 10 29.3862 49.7373 15.7462 35.0807
1967 11 31.028 50.1237 16.1601 35.471
1967 12 32.2697 50.4617 16.321 35.9379
1968 1 31.3195 50.145 16.3922 36.0958
1968 2 31.8178 50.2031 16.4072 36.0981
1968 3 31.7499 50.6838 16.5493 36.2361
1968 4 31.7798 50.552 16.4673 36.5128
1968 5 32.1826 50.6752 16.7149 37.0685
1968 6 32.4957 50.9153 16.6771 37.2182
1968 7 32.2166 50.9279 16.5158 37.2553
1968 8 32.6337 51.5088 16.6634 36.9763
1968 9 32.9698 51.5665 16.8424 37.1278
1968 10 33.4062 51.7299 16.9872 37.1712
1968 11 34.1824 52.1644 16.9994 37.7651
1968 12 34.484 51.5327 17.1785 37.9623
1969 1 34.3981 51.9748 17.4184 38.1489
1969 2 34.3745 52.597 17.4114 38.5595
1969 3 34.5682 52.9884 17.5842 38.7406
1969 4 33.6582 52.4657 17.7651 38.8529
1969 5 33.2081 52.2001 17.6462 38.761
1969 6 34.3255 52.3051 17.8238 39.2803
1969 7 34.3311 53.6131 18.0045 39.2987
1969 8 34.6911 53.2336 17.9336 39.7008
